Discrete Queue Name,ProducerName,ConsumerName,Primary App_Full_Name,queue_manager_name,app_id,line_of_business,cluster_name,cluster_namelist,def_persistence,def_put_response,inhibit_get,inhibit_put,remote_q_mgr_name,PrimaryAppDisp,PrimaryAppRole,q_type,Primary Neighborhood,Primary Hosting Type,Primary Enterprise Critical Payment,Primary PCI,Primary Publicly Accessible,Primary TRTC
8FVC.QUEUE.010,Producer_9SDC,Consumer_8SOR,App_Full_10,WL6ER4D,8A,TECHCT,,,Yes,Synchronous,Enabled,Enabled,WL6ER2D,Active,Producer,Alias,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.011,Producer_8SOR,Consumer_OK,App_Full_11,WO30,8ASE,TECHEFT,,,No,Synchronous,Disabled,Enabled,WL6EX2C,Full App Retire,Producer,Remote,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.012,Producer_OK,Consumer_8A,App_Full_12,WQ26,8A,TECHCCIBT,CLUS1,,No,Synchronous,Enabled,Enabled,WO30,Active,Consumer,Local,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.013,Producer_8FVC,Consumer_8FVC,App_Full_13,WL6ER2D,9SDC,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Alias,Wholesale Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.014,Producer_PPCSM,Consumer_8A,App_Full_14,DC6Z098V,8AFK,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,,Active,Consumer,Local,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.015,Producer_8A,Consumer_OK,App_Full_15,WL6ESPM,PPCSM,TECHCOO,,,No,Synchronous,Disabled,Enabled,DC6Z098V,Full App Retire,Consumer,Remote,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.016,Producer_8AFK,Consumer_OK,App_Full_16,WL6EX2C,8A,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,,Full App Retire,Producer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.017,Producer_8FVC,Consumer_PPCSM,App_Full_17,WL6ER2D,OK,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.018,Producer_9SDC,Consumer_8SOR,App_Full_18,WL6EX2C,OK,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,WO30,Active,Consumer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.019,Producer_OK,Consumer_8A,App_Full_19,WO30,9SDC,TECHCOO,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Active,Producer,Local,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.020,Producer_8FVC,Consumer_8SOR,App_Full_20,WL6ER4D,8FVC,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Remote,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.021,Producer_PPCSM,Consumer_OK,App_Full_21,WL6ER4D,PPCSM,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,WL6ER2D,Active,Producer,Local,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.022,Producer_8ASE,Consumer_8FVC,App_Full_22,WL6EX2C,9SDC,TECHCCIBT,CLUS1,,Yes,Synchronous,Disabled,Enabled,,Full App Retire,Producer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.023,Producer_8SOR,Consumer_8AFK,App_Full_23,WL6ER2D,8FVC,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,WL6ESPM,Active,Producer,Alias,Core Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.024,Producer_8AFK,Consumer_8A,App_Full_24,WQ26,OK,TECHEFT,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Active,Consumer,Alias,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.025,Producer_8AFK,Consumer_PPCSM,App_Full_25,WL6ER2D,8AFK,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.026,Producer_8ASE,Consumer_9SDC,App_Full_26,DC6Z098V,8ASE,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,WL6ER4D,Active,Consumer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.027,Producer_OK,Consumer_OK,App_Full_27,WL6ER2D,PPCSM,TECHCT,CLUS1,,Yes,Synchronous,Enabled,Enabled,WQ26,Full App Retire,Producer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.028,Producer_9SDC,Consumer_PPCSM,App_Full_28,WL6ER2D,8ASE,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,WQ26,Active,Producer,Alias,Core Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.029,Producer_8SOR,Consumer_8ASE,App_Full_29,WO30,9SDC,TECHCOO,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.030,Producer_8AFK,Consumer_9SDC,App_Full_30,WL6EX2C,8A,TECHCT,,,No,Synchronous,Enabled,Enabled,WQ26,Active,Consumer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.031,Producer_8ASE,Consumer_8FVC,App_Full_31,WL6ER4D,PPCSM,TECHCOO,CLUS1,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.032,Producer_8ASE,Consumer_PPCSM,App_Full_32,WL6EX2C,8FVC,TECHCT,,,No,Synchronous,Enabled,Enabled,,Active,Producer,Alias,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.033,Producer_8AFK,Consumer_9SDC,App_Full_33,WL6ER4D,8FVC,TECHEFT,,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Remote,Core Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
OK.QUEUE.034,Producer_8SOR,Consumer_8FVC,App_Full_34,WL6ER4D,8A,TECHCCIBT,,,Yes,Synchronous,Disabled,Enabled,WQ26,Full App Retire,Producer,Remote,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.035,Producer_PPCSM,Consumer_8ASE,App_Full_35,DC6Z098V,8ASE,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,WO30,Active,Producer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
OK.QUEUE.036,Producer_8A,Consumer_OK,App_Full_36,WL6ESPM,8SOR,TECHCOO,CLUS1,,Yes,Synchronous,Disabled,Enabled,WL6ER4D,Full App Retire,Producer,Remote,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.037,Producer_PPCSM,Consumer_9SDC,App_Full_37,WL6ESPM,8SOR,TECHCOO,CLUS1,,No,Synchronous,Enabled,Enabled,,Full App Retire,Producer,Remote,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.038,Producer_8A,Consumer_OK,App_Full_38,WL6ESPM,PPCSM,TECHCT,,,No,Synchronous,Enabled,Enabled,WO30,Active,Consumer,Local,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.039,Producer_8ASE,Consumer_PPCSM,App_Full_39,WL6ESPM,8ASE,TECHEFT,,,No,Synchronous,Disabled,Enabled,WL6ER4D,Active,Consumer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.040,Producer_8A,Consumer_8ASE,App_Full_40,WL6ER4D,PPCSM,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,,Active,Producer,Remote,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.041,Producer_OK,Consumer_PPCSM,App_Full_41,WL6EX2C,PPCSM,TECHCOO,,,No,Synchronous,Enabled,Enabled,WO30,Active,Producer,Alias,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.042,Producer_9SDC,Consumer_9SDC,App_Full_42,WO30,8SOR,TECHEFT,,,Yes,Synchronous,Disabled,Enabled,,Active,Consumer,Local,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.043,Producer_OK,Consumer_9SDC,App_Full_43,DC6Z098V,OK,TECHCOO,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Active,Consumer,Alias,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.044,Producer_PPCSM,Consumer_8SOR,App_Full_44,WL6ER2D,9SDC,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Local,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.045,Producer_8AFK,Consumer_8FVC,App_Full_45,WL6ESPM,8AFK,TECHEFT,,,No,Synchronous,Disabled,Enabled,WO30,Active,Producer,Local,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.046,Producer_8A,Consumer_OK,App_Full_46,WQ26,8A,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,,Active,Producer,Local,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.047,Producer_8A,Consumer_PPCSM,App_Full_47,WO30,PPCSM,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Remote,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.048,Producer_8AFK,Consumer_8SOR,App_Full_48,WL6ESPM,8AFK,TECHEFT,,,No,Synchronous,Enabled,Enabled,,Active,Producer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.049,Producer_PPCSM,Consumer_8SOR,App_Full_49,WL6ER4D,8ASE,TECHCT,,,Yes,Synchronous,Disabled,Enabled,,Full App Retire,Consumer,Alias,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.050,Producer_9SDC,Consumer_8FVC,App_Full_50,WL6ER2D,9SDC,TECHCCIBT,CLUS1,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.051,Producer_8A,Consumer_9SDC,App_Full_51,WL6EX2C,8FVC,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,DC6Z098V,Active,Producer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.052,Producer_8ASE,Consumer_8FVC,App_Full_52,DC6Z098V,9SDC,TECHCT,CLUS1,,Yes,Synchronous,Enabled,Enabled,WL6ER2D,Active,Producer,Alias,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.053,Producer_8AFK,Consumer_PPCSM,App_Full_53,WQ26,8A,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Full App Retire,Consumer,Remote,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.054,Producer_PPCSM,Consumer_8FVC,App_Full_54,DC6Z098V,PPCSM,TECHCT,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Remote,Core Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.055,Producer_9SDC,Consumer_8ASE,App_Full_55,WL6EX2C,PPCSM,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WQ26,Active,Producer,Remote,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.056,Producer_8A,Consumer_OK,App_Full_56,WL6ER2D,9SDC,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,WL6EX2C,Active,Producer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.057,Producer_8A,Consumer_OK,App_Full_57,WO30,OK,TECHCCIBT,CLUS1,,No,Synchronous,Enabled,Enabled,WL6ESPM,Active,Consumer,Remote,Core Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.058,Producer_8FVC,Consumer_8AFK,App_Full_58,DC6Z098V,8AFK,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Remote,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.059,Producer_8A,Consumer_OK,App_Full_59,DC6Z098V,9SDC,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,,Active,Consumer,Remote,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.060,Producer_8SOR,Consumer_8ASE,App_Full_60,WQ26,PPCSM,TECHCOO,CLUS1,,Yes,Synchronous,Enabled,Enabled,WL6ER2D,Active,Producer,Remote,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.061,Producer_8FVC,Consumer_8SOR,App_Full_61,WQ26,OK,TECHCT,,,Yes,Synchronous,Disabled,Enabled,,Active,Producer,Remote,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.062,Producer_8ASE,Consumer_9SDC,App_Full_62,WO30,8AFK,TECHCT,CLUS1,,No,Synchronous,Enabled,Enabled,WQ26,Active,Consumer,Local,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.063,Producer_8ASE,Consumer_PPCSM,App_Full_63,DC6Z098V,8FVC,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,WL6ER2D,Full App Retire,Consumer,Alias,Core Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.064,Producer_8SOR,Consumer_8AFK,App_Full_64,WL6ESPM,8ASE,TECHEFT,CLUS1,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.065,Producer_8FVC,Consumer_OK,App_Full_65,WL6ESPM,OK,TECHEFT,,,No,Synchronous,Enabled,Enabled,,Full App Retire,Consumer,Remote,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.066,Producer_OK,Consumer_PPCSM,App_Full_66,WO30,9SDC,TECHCT,,,Yes,Synchronous,Disabled,Enabled,,Active,Consumer,Remote,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
PPCSM.QUEUE.067,Producer_PPCSM,Consumer_PPCSM,App_Full_67,WO30,PPCSM,TECHEFT,CLUS1,,No,Synchronous,Disabled,Enabled,WL6ESPM,Active,Consumer,Remote,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.068,Producer_8AFK,Consumer_9SDC,App_Full_68,WO30,8FVC,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Active,Consumer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.069,Producer_PPCSM,Consumer_8A,App_Full_69,WO30,8FVC,TECHCT,,,No,Synchronous,Disabled,Enabled,,Active,Consumer,Alias,Core Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.070,Producer_OK,Consumer_8FVC,App_Full_70,DC6Z098V,8AFK,TECHCOO,CLUS1,,Yes,Synchronous,Disabled,Enabled,WL6ER4D,Full App Retire,Producer,Remote,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
OK.QUEUE.071,Producer_8ASE,Consumer_9SDC,App_Full_71,WQ26,8A,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,,Active,Producer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.072,Producer_OK,Consumer_PPCSM,App_Full_72,WL6EX2C,PPCSM,TECHEFT,,,No,Synchronous,Disabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.073,Producer_OK,Consumer_9SDC,App_Full_73,WL6ER2D,PPCSM,TECHCOO,,,No,Synchronous,Disabled,Enabled,WL6ER4D,Active,Consumer,Alias,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.074,Producer_OK,Consumer_8SOR,App_Full_74,WL6ESPM,OK,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WL6ER4D,Active,Producer,Remote,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.075,Producer_PPCSM,Consumer_8FVC,App_Full_75,WQ26,PPCSM,TECHCT,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Remote,Core Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.076,Producer_9SDC,Consumer_8SOR,App_Full_76,WO30,9SDC,TECHCCIBT,CLUS1,,No,Synchronous,Enabled,Enabled,,Active,Consumer,Alias,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.077,Producer_PPCSM,Consumer_OK,App_Full_77,WL6ER4D,8AFK,TECHEFT,,,No,Synchronous,Enabled,Enabled,,Full App Retire,Producer,Local,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.078,Producer_OK,Consumer_8FVC,App_Full_78,WL6ER2D,OK,TECHCT,CLUS1,,No,Synchronous,Disabled,Enabled,,Active,Consumer,Local,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.079,Producer_9SDC,Consumer_8ASE,App_Full_79,WL6ER4D,OK,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.080,Producer_8ASE,Consumer_9SDC,App_Full_80,WL6ESPM,8SOR,TECHCCIBT,CLUS1,,No,Synchronous,Enabled,Enabled,,Active,Consumer,Remote,Core Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8AFK.QUEUE.081,Producer_8ASE,Consumer_8A,App_Full_81,WL6EX2C,9SDC,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,WL6ER2D,Active,Consumer,Remote,Wholesale Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.082,Producer_8AFK,Consumer_8SOR,App_Full_82,WQ26,8FVC,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,,Active,Consumer,Local,Retail Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.083,Producer_8AFK,Consumer_9SDC,App_Full_83,DC6Z098V,9SDC,TECHCOO,,,Yes,Synchronous,Disabled,Enabled,,Active,Consumer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.084,Producer_8A,Consumer_OK,App_Full_84,WL6EX2C,8A,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,WL6ER2D,Full App Retire,Producer,Remote,Core Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.085,Producer_8A,Consumer_9SDC,App_Full_85,WL6EX2C,8AFK,TECHCT,,,Yes,Synchronous,Disabled,Enabled,,Active,Consumer,Remote,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.086,Producer_8AFK,Consumer_PPCSM,App_Full_86,WQ26,8FVC,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,WL6EX2C,Full App Retire,Consumer,Alias,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.087,Producer_8FVC,Consumer_8A,App_Full_87,WQ26,9SDC,TECHCT,,,Yes,Synchronous,Enabled,Enabled,,Full App Retire,Producer,Local,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.088,Producer_OK,Consumer_8FVC,App_Full_88,DC6Z098V,8SOR,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,WQ26,Active,Consumer,Alias,Wholesale Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8A.QUEUE.089,Producer_OK,Consumer_8FVC,App_Full_89,WL6ER4D,PPCSM,TECHCCIBT,,,No,Synchronous,Disabled,Enabled,DC6Z098V,Active,Consumer,Local,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.090,Producer_8ASE,Consumer_9SDC,App_Full_90,WO30,OK,TECHCT,,,No,Synchronous,Disabled,Enabled,,Active,Producer,Local,Retail Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8FVC.QUEUE.091,Producer_9SDC,Consumer_8A,App_Full_91,WL6ER4D,PPCSM,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WO30,Full App Retire,Consumer,Alias,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.092,Producer_8AFK,Consumer_8SOR,App_Full_92,WL6ER4D,PPCSM,TECHCT,,,Yes,Synchronous,Enabled,Enabled,DC6Z098V,Active,Consumer,Remote,Core Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.093,Producer_8A,Consumer_OK,App_Full_93,WO30,8FVC,TECHEFT,CLUS1,,Yes,Synchronous,Enabled,Enabled,,Active,Producer,Local,Wholesale Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
9SDC.QUEUE.094,Producer_8ASE,Consumer_OK,App_Full_94,WL6ER2D,8FVC,TECHCOO,CLUS1,,Yes,Synchronous,Enabled,Enabled,WQ26,Full App Retire,Producer,Remote,Retail Banking,Internal,No,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.095,Producer_PPCSM,Consumer_9SDC,App_Full_95,WQ26,8ASE,TECHCOO,,,Yes,Synchronous,Enabled,Enabled,WL6ESPM,Active,Producer,Alias,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
8ASE.QUEUE.096,Producer_OK,Consumer_9SDC,App_Full_96,WO30,OK,TECHCCIBT,,,No,Synchronous,Enabled,Enabled,WQ26,Full App Retire,Producer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
8A.QUEUE.097,Producer_8ASE,Consumer_8A,App_Full_97,WL6ER2D,PPCSM,TECHEFT,CLUS1,,No,Synchronous,Enabled,Enabled,,Active,Consumer,Local,Wholesale Banking,Internal,No,Yes,No,03= 4:01 to 11:59 Hours
8SOR.QUEUE.098,Producer_PPCSM,Consumer_8AFK,App_Full_98,WL6ER4D,8SOR,TECHCCIBT,,,Yes,Synchronous,Disabled,Enabled,DC6Z098V,Active,Consumer,Alias,Retail Banking,Internal,Yes,Yes,No,03= 4:01 to 11:59 Hours
OK.QUEUE.099,Producer_9SDC,Consumer_9SDC,App_Full_99,WL6ER4D,8FVC,TECHCCIBT,,,Yes,Synchronous,Enabled,Enabled,DC6Z098V,Active,Consumer,Alias,Wholesale Banking,Internal,Yes,No,No,03= 4:01 to 11:59 Hours
