,Question,esgType,esgIndicators,primaryDetails,secondaryDetails,Answer
62,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For Nordson",Environment,InterimEmissionsReductionTarget,,,"{ 2032, 4 }"
63,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For Nordson",Environment,RenewableElectricityTarget,,,"{ NULL, NULL }"
64,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For Nordson",Environment,CircularityStratergy,,,"{ NULL, NULL }"
65,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For Nordson",Social,DE&ITarget,,string,"{ NULL, NULL}"
66,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For Nordson",Goverance,HealthAndSafetyTarget,,string,"{100% of facilities to be audited annually, 10}"
67,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For Nordson",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually, 10}"
68,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Nordson",Reporting,SBTi,,string,NULL
69,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Nordson",Reporting,CDP,,string,"{ CDP rating , 4 }"
70,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For Nordson",Reporting,GRI,,string,NULL
71,is the entity focussing on ESG assurance For Nordson,Reporting,Assurance,,string,NULL
72,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For SPX",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
73,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For SPX",Environment,NetZeroTarget,,,"{ 2050 , 4}"
74,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For SPX",Environment,InterimEmissionsReductionTarget,,,"{ 20% by 2025, 10 }"
75,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For SPX",Environment,RenewableElectricityTarget,,,"{ 100% by 2030, 10 }"
76,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For SPX",Environment,CircularityStratergy,,,"{ NULL, NULL }"
77,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For SPX",Social,DE&ITarget,,string,"{ , }"
78,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For SPX",Goverance,HealthAndSafetyTarget,,string,"{100% of facilities to be audited annually , 10}"
79,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For SPX",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually , 10}"
80,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For SPX",Reporting,SBTi,,string,NULL
81,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For SPX",Reporting,CDP,,string,"{ CDP rating , 4 }"
82,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For SPX",Reporting,GRI,,string,"{ GRI rating target value: 4, page number: 10 }"
83,is the entity focussing on ESG assurance For SPX,Reporting,Assurance,,string,NULL
84,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For Franklin",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
85,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For Franklin",Environment,NetZeroTarget,,,"{ 2050 , 4}"
86,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For Franklin",Environment,InterimEmissionsReductionTarget,,,"{ 2032, 4 }"
87,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For Franklin",Environment,RenewableElectricityTarget,,,"{ NULL, NULL }"
88,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For Franklin",Environment,CircularityStratergy,,,"{ Circularity Stratergy & targets value: NULL,page number: NULL }"
89,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For Franklin",Social,DE&ITarget,,string,"{ NULL, NULL}"
90,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For Franklin",Goverance,HealthAndSafetyTarget,,string,"{100%, 10}"
91,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For Franklin",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually , 10}"
92,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Franklin",Reporting,SBTi,,string,NULL
93,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For Franklin",Reporting,CDP,,string,"{ CDP rating , 5 , 10 }"
94,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For Franklin",Reporting,GRI,,string,NULL
95,is the entity focussing on ESG assurance For Franklin,Reporting,Assurance,,string,NULL
96,"What is ESG Risk Rating for MSCI  and also get the page number relevant for the information? If Information is not available record it as NULL and Put it in the following format :{ ESG Risk Rating value, page number}  For WATTS",ESGScore,MSCISustainalytics,,,"{ A, 10 }"
97,"what is net zero target and also get the page number relevant for the information? Put it in the following format :{  date for net zero emission , page number} For WATTS",Environment,NetZeroTarget,,,"{ 2050 , 4}"
98,"what is the interim emission reduction target and also get the page number relevant for the information? Put it in the following format :{ interim emission reduction target value,page number } For WATTS",Environment,InterimEmissionsReductionTarget,,,"{ 20% by 2025, 10 }"
99,"what is the Renewable Electricity Target and also get the page number relevant for the information? Put it in the following format :{ Renewable Electricity Target value,page number } For WATTS",Environment,RenewableElectricityTarget,,,"{ 100%, 10 }"
100,"what is the Circularity Stratergy & targets and also get the page number relevant for the information? Put it in the following format :{ Circularity Stratergy & targets value,page number } For WATTS",Environment,CircularityStratergy,,,"{ Circularity Stratergy & targets value: ,page number: }"
101,"what is the Diversity, Equity and Inclusion target and also get the page number relevant for the information? Put it in the followingformat :{ Diversity, Equity and Inclusion target value,page number} For WATTS",Social,DE&ITarget,,string,"{ NULL, NULL}"
102,"what is the employee health and Safety audit target  and also get the page number relevant for the information? Put it in the followingformat :{employee health and Safety audit target value,page number} For WATTS",Goverance,HealthAndSafetyTarget,,string,"{100%, 10}"
103,"what is supply audit target  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number} For WATTS",Goverance,SuppluAuditTarget,,string,"{100% of suppliers to be audited annually , 10}"
104,"what is the SBTi rating and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For WATTS",Reporting,SBTi,,string,"{'supply audit target': 'Scope 1 and 2 emissions to be reduced by 50% by 2030 and to net zero by 2050', 'target value': 'Scope 1 and 2 emissions to be reduced by 50% by 2030 and to net zero by 2050', 'page number': '10'}"
105,"what is the CDP rating  and also get the page number relevant for the information? Put it in the followingformat:{supply audit target target value,page number For WATTS",Reporting,CDP,,string,"{ CDP rating , 4 }"
106,"what is the GRI rating  and also get the page number relevant for the information? Put it in the followingformat:{ GRI rating target value,page number For WATTS",Reporting,GRI,,string,"{ GRI rating target value,page number For WATTS : NULL, 4 }"
107,is the entity focussing on ESG assurance For WATTS,Reporting,Assurance,,string,NULL
